"","ensembl_gene_id","chromosome_name","hgnc_symbol","hgnc_id"
"1","ENSG00000001461","1","NIPAL3","HGNC:25233"
"2","ENSG00000001497","X","LAS1L","HGNC:25726"
"3","ENSG00000001630","7","CYP51A1","HGNC:2649"
"4","ENSG00000002549","4","LAP3","HGNC:18449"
"5","ENSG00000003056","12","M6PR","HGNC:6752"
"6","ENSG00000003400","2","CASP10","HGNC:1500"
"7","ENSG00000003402","2","CFLAR","HGNC:1876"
"8","ENSG00000003756","3","RBM5","HGNC:9902"
"9","ENSG00000004455","1","AK2","HGNC:362"
"10","ENSG00000004897","17","CDC27","HGNC:1728"
"11","ENSG00000004961","X","HCCS","HGNC:4837"
"12","ENSG00000005022","X","SLC25A5","HGNC:10991"
"13","ENSG00000005075","7","POLR2J","HGNC:9197"
"14","ENSG00000005302","X","MSL3","HGNC:7370"
"15","ENSG00000005436","2","GCFC2","HGNC:1317"
"16","ENSG00000005483","7","KMT2E","HGNC:18541"
"17","ENSG00000005700","6","IBTK","HGNC:17853"
"18","ENSG00000006451","7","RALA","HGNC:9839"
"19","ENSG00000006459","7","KDM7A","HGNC:22224"
"20","ENSG00000006576","7","PHTF2","HGNC:13411"
"21","ENSG00000006607","2","FARP2","HGNC:16460"
"22","ENSG00000006634","7","DBF4","HGNC:17364"
"23","ENSG00000006712","19","PAF1","HGNC:25459"
"24","ENSG00000007312","17","CD79B","HGNC:1699"
"25","ENSG00000007341","1","ST7L","HGNC:18441"
"26","ENSG00000007944","6","MYLIP","HGNC:21155"
"27","ENSG00000008018","6","PSMB1","HGNC:9537"
"28","ENSG00000008128","1","CDK11A","HGNC:1730"
"29","ENSG00000009307","1","CSDE1","HGNC:29905"
"30","ENSG00000009413","6","REV3L","HGNC:9968"
"31","ENSG00000010292","12","NCAPD2","HGNC:24305"
"32","ENSG00000010404","X","IDS","HGNC:5389"
"33","ENSG00000010818","6","HIVEP2","HGNC:4921"
"34","ENSG00000011260","17","UTP18","HGNC:24274"
"35","ENSG00000011275","7","RNF216","HGNC:21698"
"36","ENSG00000011422","19","PLAUR","HGNC:9053"
"37","ENSG00000011638","16","TMEM159","HGNC:30136"
"38","ENSG00000012061","19","ERCC1","HGNC:3433"
"39","ENSG00000012822","12","CALCOCO1","HGNC:29306"
"40","ENSG00000013288","4","MAN2B2","HGNC:29623"
"41","ENSG00000013374","7","NUB1","HGNC:17623"
"42","ENSG00000013441","2","CLK1","HGNC:2068"
